logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
false causality,0,Any increase in flooding activity is due to human alterations of river and stream flow rather than precipitation changes .," ""Any increase in flooding activity is due to human alterations of river and stream flow.""  "," ""Precipitation changes do not cause an increase in flooding activity.""","IsIncreased(a),  IsDueTo(b),  Alters(c, d)","DoesNotCause(e, a),  IsIncreased(a)",[],"[(' flooding activity', ' Increase in flooding activity')]","[(' Increase in flooding activity', ' Precipitation changes')]","IsIncreased(a) and (IsDueTo(b) and Alters(c, d))","DoesNotCause(e, a) and ~IsIncreased(a)","(exists a (IsIncreased(a) and (IsDueTo(b) and Alters(c, d)))) -> (forall e (DoesNotCause(e, a) and ~IsIncreased(a)))","(exists a (exists d (exists c (exists b (IsIncreased(a) and (IsDueTo(b) and Alters(c, d))))))) -> (exists a (exists e (DoesNotCause(e, a) and ~IsIncreased(a))))"
faulty generalization,0,"Still , the shift is precisely what he and other cyclone experts said would be expected from climate change .", Cyclone experts said the shift would be expected from climate change.  , The shift is caused by climate change.,"SaidShiftExpectedFromChange(b, c, a)","CausedBy(d, a)",[],"[(' climate change', ' climate change')]",[],"SaidShiftExpectedFromChange(b, c, a)","CausedBy(d, a)","(SaidShiftExpectedFromChange(b, c, a)) -> (CausedBy(d, a))","(exists c (exists a (exists b (SaidShiftExpectedFromChange(b, c, a))))) -> (exists a (exists d (CausedBy(d, a))))"
appeal to emotion,0,“ This has been the saddest research trip of my life ”," ""This research trip has been the saddest of my life.""  "," ""The research trip was very sad.""","IsSaddest(a, b)",IsSad(c),[],[],[],"IsSaddest(a, b)",IsSad(c),"(IsSaddest(a, b)) -> (IsSad(c))","(exists a (exists b (IsSaddest(a, b)))) -> (exists c (IsSad(c)))"
fallacy of logic,0,Eight countries control land in the Arctic Circle . Five have coastlines to defend . The temperature is rising . The ice is melting . The race for newly accessible resources is beginning . And Russia is gaining ground ., Eight countries control land in the Arctic Circle. Five countries have coastlines to defend. The temperature is rising. The ice is melting. The race for newly accessible resources is beginning. Russia is gaining ground., Russia will gain access to more resources in the Arctic Circle.,"ControlsLand(c, d),  InArcticCircle(d, a),  HasCoastlines(e, f),  IsRising(g),  IsMelting(h),  IsBeginning(i),  IsForResources(i, j),  IsGainingGround(b)","GainsAccess(b, k),  InArcticCircle(k, a)",[],"[(' Arctic Circle', ' Arctic Circle'), (' Russia', ' Russia')]","[(' land', ' Russia'), (' Arctic Circle', ' Russia'), (' newly accessible resources', ' more resources'), (' Russia', ' Arctic Circle')]","(ControlsLand(c, d) and InArcticCircle(d, a) and HasCoastlines(e, f) and IsRising(g) and IsMelting(h) and IsBeginning(i) and IsForResources(i, j) and IsGainingGround(b))","GainsAccess(b, k) and InArcticCircle(k, a)","(exists b (exists j (exists a (exists d ((ControlsLand(c, d) and InArcticCircle(d, a) and HasCoastlines(e, f) and IsRising(g) and IsMelting(h) and IsBeginning(i) and IsForResources(i, j) and IsGainingGround(b))))))) -> (forall k (exists a (forall b (GainsAccess(b, k) and InArcticCircle(k, a)))))","(exists a (exists i (exists d (exists g (exists f (exists h (exists b (exists j (exists c (exists e ((ControlsLand(c, d) and InArcticCircle(d, a) and HasCoastlines(e, f) and IsRising(g) and IsMelting(h) and IsBeginning(i) and IsForResources(i, j) and IsGainingGround(b))))))))))))) -> (exists a (exists k (exists b (GainsAccess(b, k) and InArcticCircle(k, a)))))"
intentional,0,You ’ ve only got to look at Singapore ., You’ve got to look at Singapore., Singapore is a good example.,LookAt(a),IsGoodExample(a),[],"[(' Singapore', ' Singapore')]",[],LookAt(a),IsGoodExample(a),(LookAt(a)) -> (IsGoodExample(a)),(exists a (LookAt(a))) -> (exists a (IsGoodExample(a)))
appeal to emotion,0,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve ."," ""The changes will usher in a sustained period of climate system mayhem.""  "," ""Climate system mayhem could be difficult to resolve.""","WillUsherIn(a, b)",IsDifficultToResolve(d),[],[],"[(' climate system mayhem', ' mayhem')]","WillUsherIn(a, b)",IsDifficultToResolve(d),"(exists b (WillUsherIn(a, b))) -> (forall d (IsDifficultToResolve(d)))","(exists a (exists b (WillUsherIn(a, b)))) -> (exists d (IsDifficultToResolve(d)))"
intentional,0,"Temperature , like viscosity and density , and of course phone numbers , is not something that can be meaningfully averaged . “ Global temperature ” does not exist .", Global temperature does not exist., Temperature cannot be meaningfully averaged.,DoesNotExist(a),CannotBeAveragedMeaningfully(b),[],[],"[(' Global temperature', ' Temperature')]",DoesNotExist(a),CannotBeAveragedMeaningfully(b),(exists a (DoesNotExist(a))) -> (forall b (CannotBeAveragedMeaningfully(b))),(exists a (DoesNotExist(a))) -> (exists b (CannotBeAveragedMeaningfully(b)))
false causality,0,"The Little Ice Age
ended as recently as 1850 . Therefore , it is no surprise that we now are expe riencing a period of warming .", The Little Ice Age ended as recently as 1850.  , We are experiencing a period of warming.,EndedIn1850(a),"IsExperiencing(b, c)",[],[],[],EndedIn1850(a),"IsExperiencing(b, c)","(EndedIn1850(a)) -> (IsExperiencing(b, c))","(exists a (EndedIn1850(a))) -> (exists c (exists b (IsExperiencing(b, c))))"
intentional,0,"By ignoring history and geology , any claim of unusual weather can be made sensational .", Any claim of unusual weather can be made sensational by ignoring history and geology.  , Ignoring history and geology allows sensational claims of unusual weather.,"IsAboutUnusualWeather(d),  IgnoresHistoryAndGeology(d)","IgnoresHistoryAndGeology(e),  IsAboutUnusualWeather(e)",[],"[(' unusual weather', ' unusual weather'), (' history', ' History'), (' geology', ' geology')]","[(' Claim', ' sensational claims')]",IsAboutUnusualWeather(d) and IgnoresHistoryAndGeology(d),IgnoresHistoryAndGeology(e) and IsAboutUnusualWeather(e),(exists d (IsAboutUnusualWeather(d) and IgnoresHistoryAndGeology(d))) -> (forall e (IgnoresHistoryAndGeology(e) and IsAboutUnusualWeather(e))),(exists d (IsAboutUnusualWeather(d) and IgnoresHistoryAndGeology(d))) -> (exists e (IgnoresHistoryAndGeology(e) and IsAboutUnusualWeather(e)))
,1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.", A football coach talks with his player in front of the team and the crowd.  , A football coach talks with his player in front of others.,"TalksWith(a, b),  InFrontOf(a, c),  InFrontOf(a, d)","TalksWith(a, b),  InFrontOf(a, e)",[],"[(' A football coach', ' A football coach'), (' his player', ' his player')]",[],"TalksWith(a, b) and InFrontOf(a, c) and InFrontOf(a, d)","TalksWith(a, b) and InFrontOf(a, e)","(TalksWith(a, b) and InFrontOf(a, c) and InFrontOf(a, d)) -> (TalksWith(a, b) and InFrontOf(a, e))","(exists a (exists d (exists c (exists b (TalksWith(a, b) and InFrontOf(a, c) and InFrontOf(a, d)))))) -> (exists a (exists e (exists b (TalksWith(a, b) and InFrontOf(a, e)))))"
,1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports."," ""Two men are watching a man make a golf putt on the set of Sports Center."""," ""People are watching sports.""","IsWatching(a, b),  IsMaking(b, c),  IsOnSet(c, d)","IsWatching(e, f)",[],[],"[(' Two men', ' People'), (' a man', ' People'), (' a golf putt', ' sports'), (' the set of Sports Center', ' sports')]","IsWatching(a, b) and IsMaking(b, c) and IsOnSet(c, d)","IsWatching(e, f)","(exists d (exists c (exists b (exists a (IsWatching(a, b) and IsMaking(b, c) and IsOnSet(c, d)))))) -> (forall f (forall e (IsWatching(e, f))))","(exists a (exists d (exists c (exists b (IsWatching(a, b) and IsMaking(b, c) and IsOnSet(c, d)))))) -> (exists e (exists f (IsWatching(e, f))))"
,1,"Six women wait to use a port-o-john in a field. Thus, women are outside.", Six women wait to use a port-o-john in a field.  , Women are outside.,"IsWaiting(a),  UsesPortOJohn(a),  IsInField(b)",IsOutside(d),[],[],"[(' Six women', ' Women')]",IsWaiting(a) and UsesPortOJohn(a) and IsInField(b),IsOutside(d),(exists a (IsWaiting(a) and UsesPortOJohn(a) and IsInField(b))) -> (forall d (IsOutside(d))),(exists a (exists b (IsWaiting(a) and UsesPortOJohn(a) and IsInField(b)))) -> (exists d (IsOutside(d)))
,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.," ""A woman wearing a black top and glasses is speaking into a blue-tipped microphone with another woman beside her writing."""," ""One woman speaks into a microphone while a second woman writes beside her.""","WearsBlackTop(a),  WearsGlasses(a),  IsSpeakingIntoMicrophone(a, b),  IsBeside(a, c),  IsWriting(c)","SpeaksIntoMicrophone(d, e),  Writes(f),  IsBeside(f, d)",[],[],"[(' A woman wearing a black top and glasses', ' One woman'), (' a blue-tipped microphone', ' microphone')]","WearsBlackTop(a) and WearsGlasses(a) and IsSpeakingIntoMicrophone(a, b) and IsBeside(a, c) and IsWriting(c)","SpeaksIntoMicrophone(d, e) and Writes(f) and IsBeside(f, d)","(exists b (exists a (WearsBlackTop(a) and WearsGlasses(a) and IsSpeakingIntoMicrophone(a, b) and IsBeside(a, c) and IsWriting(c)))) -> (forall e (forall d (SpeaksIntoMicrophone(d, e) and Writes(f) and IsBeside(f, d))))","(exists a (exists c (exists b (WearsBlackTop(a) and WearsGlasses(a) and IsSpeakingIntoMicrophone(a, b) and IsBeside(a, c) and IsWriting(c))))) -> (exists e (exists f (exists d (SpeaksIntoMicrophone(d, e) and Writes(f) and IsBeside(f, d)))))"
,1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object."," ""A tan girl with a wool hat is running and leaning over an object."""," ""A tan girl runs and leans over an object.""","IsTan(a),  HasWoolHat(a),  IsRunning(a),  IsLeaningOver(a, b)","IsTan(a),  Runs(a),  LeansOver(a, b)",[],"[(' A tan girl', ' A tan girl'), (' object', ' an object')]","[(' wool hat', ' an object')]","IsTan(a) and HasWoolHat(a) and IsRunning(a) and IsLeaningOver(a, b)","IsTan(a) and Runs(a) and LeansOver(a, b)","(IsTan(a) and HasWoolHat(a) and IsRunning(a) and IsLeaningOver(a, b)) -> (IsTan(a) and Runs(a) and LeansOver(a, b))","(exists a (exists b (IsTan(a) and HasWoolHat(a) and IsRunning(a) and IsLeaningOver(a, b)))) -> (exists a (exists b (IsTan(a) and Runs(a) and LeansOver(a, b))))"
,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention., A scientist studies a slide.  , A scientist studies a slide related to the scientist's invention.,"Studies(a, b)","Studies(a, b),  IsRelatedTo(b, c)",[],"[(' A scientist', ' A scientist'), (' a slide', ' a slide')]",[],"Studies(a, b)","Studies(a, b) and IsRelatedTo(b, c)","(Studies(a, b)) -> (Studies(a, b) and IsRelatedTo(b, c))","(exists a (exists b (Studies(a, b)))) -> (exists a (exists c (exists b (Studies(a, b) and IsRelatedTo(b, c)))))"
,1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball."," ""A red dog catches a tennis ball in its mouth."""," ""A dog catches a ball.""","IsRed(a),  CatchesWithMouth(a, b)","Catches(a, d)",[],"[(' A dog', ' A red dog')]","[(' a tennis ball', ' a ball')]","IsRed(a) and CatchesWithMouth(a, b)","Catches(a, d)","(exists b (IsRed(a) and CatchesWithMouth(a, b))) -> (forall d (Catches(a, d)))","(exists a (exists b (IsRed(a) and CatchesWithMouth(a, b)))) -> (exists a (exists d (Catches(a, d))))"
,1,"A group of dogs stand in the snow. Thus, there are animals outdoors.", A group of dogs stand in the snow.  , There are animals outdoors.,IsStandingInSnow(a),IsOutdoors(c),[],[],"[(' A group of dogs', ' Animals')]",IsStandingInSnow(a),IsOutdoors(c),(exists a (IsStandingInSnow(a))) -> (forall c (IsOutdoors(c))),(exists a (IsStandingInSnow(a))) -> (exists c (IsOutdoors(c)))
,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.," ""This person is snowboarding on a very small pile of snow on a sunny cold day.""  "," ""The young snowboarder is sizing up the next jump.""","IsSnowboarding(a),  IsOnPileOfSnow(a),  IsSmallPile(b),  IsSunnyDay(c),  IsColdDay(c)","IsYoung(d),  IsSizingUp(d, e),  IsNextJump(e)",[],[],[],IsSnowboarding(a) and IsOnPileOfSnow(a) and IsSmallPile(b) and IsSunnyDay(c) and IsColdDay(c),"IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e)","(IsSnowboarding(a) and IsOnPileOfSnow(a) and IsSmallPile(b) and IsSunnyDay(c) and IsColdDay(c)) -> (IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e))","(exists a (exists c (exists b (IsSnowboarding(a) and IsOnPileOfSnow(a) and IsSmallPile(b) and IsSunnyDay(c) and IsColdDay(c))))) -> (exists e (exists d (IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e))))"
,1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts."," ""A man in a kilt has thrown a long pole.""  "," ""People watch men in kilts.""","IsInKilt(a),  HasThrownPole(a)","Watch(c, d),  IsInKilts(d)",[],[],"[(' A man in a kilt', ' People'), (' A man in a kilt', ' men'), (' A man in a kilt', ' kilts')]",IsInKilt(a) and HasThrownPole(a),"Watch(c, d) and IsInKilts(d)","(exists a (IsInKilt(a) and HasThrownPole(a))) -> (forall d (forall c (Watch(c, d) and IsInKilts(d))))","(exists a (IsInKilt(a) and HasThrownPole(a))) -> (exists c (exists d (Watch(c, d) and IsInKilts(d))))"
,1,"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows."," ""A boy is riding down the road between two cows.""  "," ""There is a boy, a road, and two cows.""","IsRidingDown(a, c),  IsBetween(a, b)","Exists(a),  Exists(d),  Exists(b)",[],"[(' A boy', ' A boy'), (' two cows', ' two cows')]",[],"IsRidingDown(a, c) and IsBetween(a, b)",Exists(a) and Exists(d) and Exists(b),"(IsRidingDown(a, c) and IsBetween(a, b)) -> (Exists(a) and Exists(d) and Exists(b))","(exists a (exists c (exists b (IsRidingDown(a, c) and IsBetween(a, b))))) -> (exists a (exists d (exists b (Exists(a) and Exists(d) and Exists(b)))))"
,1,A bald man is getting out of a small blue car. It follows that the man is bald.," ""A bald man is getting out of a small blue car.""  "," ""The man is bald.""","IsBald(a),  IsGettingOutOf(a, b),  IsSmall(b),  IsBlue(b)",IsBald(c),[],[],"[(' A bald man', ' The man')]","IsBald(a) and IsGettingOutOf(a, b) and IsSmall(b) and IsBlue(b)",IsBald(c),"(exists a (IsBald(a) and IsGettingOutOf(a, b) and IsSmall(b) and IsBlue(b))) -> (forall c (IsBald(c)))","(exists a (exists b (IsBald(a) and IsGettingOutOf(a, b) and IsSmall(b) and IsBlue(b)))) -> (exists c (IsBald(c)))"
,1,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball."," ""Young boys in green and blue jerseys kick around a soccer ball.""  "," ""Young boys are kicking around a soccer ball.""","IsYoung(a),  IsInGreenAndBlueJerseys(a),  KicksSoccerBall(a)","IsYoung(a),  KicksSoccerBall(a)",[],"[(' Young boys', ' Young boys'), (' soccer ball', ' soccer ball')]",[],IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksSoccerBall(a),IsYoung(a) and KicksSoccerBall(a),(IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksSoccerBall(a)) -> (IsYoung(a) and KicksSoccerBall(a)),(exists a (IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksSoccerBall(a))) -> (exists a (IsYoung(a) and KicksSoccerBall(a)))
,1,"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument.", A girl is playing a violin., A girl is playing an instrument.,IsPlayingViolin(a),IsPlayingInstrument(a),[],"[(' A girl', ' A girl')]","[(' a violin', ' an instrument')]",IsPlayingViolin(a),IsPlayingInstrument(a),(IsPlayingViolin(a)) -> (IsPlayingInstrument(a)),(exists a (IsPlayingViolin(a))) -> (exists a (IsPlayingInstrument(a)))
,1,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.," ""Two small boys in blue soccer uniforms are using a wooden set of steps to wash their hands in an adult-sized bathroom."""," ""Two boys are washing their hands.""","IsSmall(b),  WearingUniform(b, c),  UsingSteps(b, d),  WashingHands(a),  IsInAdultSizedBathroom(b, e)","IsTwoBoys(f),  WashingHands(a)",[],"[(' their hands', ' their hands')]",[],"IsSmall(b) and WearingUniform(b, c) and UsingSteps(b, d) and WashingHands(a) and IsInAdultSizedBathroom(b, e)",IsTwoBoys(f) and WashingHands(a),"(IsSmall(b) and WearingUniform(b, c) and UsingSteps(b, d) and WashingHands(a) and IsInAdultSizedBathroom(b, e)) -> (IsTwoBoys(f) and WashingHands(a))","(exists a (exists d (exists b (exists c (exists e (IsSmall(b) and WearingUniform(b, c) and UsingSteps(b, d) and WashingHands(a) and IsInAdultSizedBathroom(b, e))))))) -> (exists a (exists f (IsTwoBoys(f) and WashingHands(a))))"
,1,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.," ""A soccer player in white kicks a ball, another soccer player lunges towards the ball, and a third soccer player in red follows close by.""  "," ""There are three soccer players.""","IsInWhite(a),  Kicks(a, b),  LungesTowards(c, d),  IsInRed(e),  FollowsCloseBy(e)","IsSoccerPlayer(f),  AreThree(f)",[],[],"[(' A soccer player in white', ' Three soccer players'), (' a third soccer player in red', ' Three soccer players')]","IsInWhite(a) and Kicks(a, b) and LungesTowards(c, d) and IsInRed(e) and FollowsCloseBy(e)",IsSoccerPlayer(f) and AreThree(f),"(exists e (exists a (IsInWhite(a) and Kicks(a, b) and LungesTowards(c, d) and IsInRed(e) and FollowsCloseBy(e)))) -> (forall f (IsSoccerPlayer(f) and AreThree(f)))","(exists a (exists d (exists b (exists c (exists e (IsInWhite(a) and Kicks(a, b) and LungesTowards(c, d) and IsInRed(e) and FollowsCloseBy(e))))))) -> (exists f (IsSoccerPlayer(f) and AreThree(f)))"
,1,"Children playing a video game together. Thus, the kids are indoors playing a video game."," ""Children are playing a video game together."""," ""Kids are indoors playing a video game.""","IsPlaying(a, b),  IsTogether(a)","IsIndoors(a),  IsPlaying(a, b)",[],"[(' Children', ' Kids'), (' video game', ' video game')]",[],"IsPlaying(a, b) and IsTogether(a)","IsIndoors(a) and IsPlaying(a, b)","(IsPlaying(a, b) and IsTogether(a)) -> (IsIndoors(a) and IsPlaying(a, b))","(exists a (exists b (IsPlaying(a, b) and IsTogether(a)))) -> (exists a (exists b (IsIndoors(a) and IsPlaying(a, b))))"
,1,Two people in coats kiss on the side of a road. This implies that people show their appreciation for another., Two people in coats kiss on the side of a road.  , People show appreciation for another by kissing.,"IsInCoat(a),  KissOnSideOfRoad(a)",ShowAppreciationByKissing(d),[],[],"[(' Two people', ' People')]",IsInCoat(a) and KissOnSideOfRoad(a),ShowAppreciationByKissing(d),(exists a (IsInCoat(a) and KissOnSideOfRoad(a))) -> (forall d (ShowAppreciationByKissing(d))),(exists a (IsInCoat(a) and KissOnSideOfRoad(a))) -> (exists d (ShowAppreciationByKissing(d)))
,1,Woman reading a book with a grocery tote. It follows that a woman is reading.," ""A woman is reading a book with a grocery tote.""  "," ""A woman is reading.""","IsReading(a),  HasGroceryTote(a)",IsReading(a),[],"[(' A woman', ' A woman')]",[],IsReading(a) and HasGroceryTote(a),IsReading(a),(IsReading(a) and HasGroceryTote(a)) -> (IsReading(a)),(exists a (IsReading(a) and HasGroceryTote(a))) -> (exists a (IsReading(a)))
,1,"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown."," ""A man wearing a brown hoodie is shopping for snacks.""  "," ""The man is wearing brown.""","IsWearingBrownHoodie(a),  IsShoppingForSnacks(a)",IsWearingBrown(c),[],[],"[(' A man wearing a brown hoodie', ' The man')]",IsWearingBrownHoodie(a) and IsShoppingForSnacks(a),IsWearingBrown(c),(exists a (IsWearingBrownHoodie(a) and IsShoppingForSnacks(a))) -> (forall c (IsWearingBrown(c))),(exists a (IsWearingBrownHoodie(a) and IsShoppingForSnacks(a))) -> (exists c (IsWearingBrown(c)))
,1,"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera.", A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him., A man is in front of a camera.,"IsInBlueTshirtAndSweatpants(b),  StandsOverStove(b),  LooksAtCamera(b),  StandsBehind(d, b)",IsInFrontOfCamera(e),[],"[(' camera', ' a camera')]","[(' A young man in a blue T-shirt and sweatpants', ' A man'), (' another young man', ' A man')]","IsInBlueTshirtAndSweatpants(b) and StandsOverStove(b) and LooksAtCamera(b) and StandsBehind(d, b)",IsInFrontOfCamera(e),"(exists d (exists b (IsInBlueTshirtAndSweatpants(b) and StandsOverStove(b) and LooksAtCamera(b) and StandsBehind(d, b)))) -> (forall e (IsInFrontOfCamera(e)))","(exists d (exists b (IsInBlueTshirtAndSweatpants(b) and StandsOverStove(b) and LooksAtCamera(b) and StandsBehind(d, b)))) -> (exists e (IsInFrontOfCamera(e)))"
,1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song.", The church choir sings joyous songs from the book at a church., The church is filled with song.,"Sings(b,a),  FromBook(a,c),  AtChurch(b,d)",IsFilledWithSong(e),[],"[(' song', ' joyous songs')]","[(' The church choir', ' The church')]","Sings(b,a) and FromBook(a,c) and AtChurch(b,d)",IsFilledWithSong(e),"(exists b (Sings(b,a) and FromBook(a,c) and AtChurch(b,d))) -> (forall e (IsFilledWithSong(e)))","(exists a (exists d (exists c (exists b (Sings(b,a) and FromBook(a,c) and AtChurch(b,d)))))) -> (exists e (IsFilledWithSong(e)))"
,1,"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing.", A man and a woman are standing at the side of an inflatable climbing structure., A man and a woman are standing.,"IsStandingAtSide(a, c),  IsStandingAtSide(b, c),  IsSideOf(c, d)","IsStanding(a),  IsStanding(b)",[],"[(' A man', ' A man'), (' a woman', ' a woman')]",[],"IsStandingAtSide(a, c) and IsStandingAtSide(b, c) and IsSideOf(c, d)",IsStanding(a) and IsStanding(b),"(IsStandingAtSide(a, c) and IsStandingAtSide(b, c) and IsSideOf(c, d)) -> (IsStanding(a) and IsStanding(b))","(exists a (exists d (exists c (exists b (IsStandingAtSide(a, c) and IsStandingAtSide(b, c) and IsSideOf(c, d)))))) -> (exists a (exists b (IsStanding(a) and IsStanding(b))))"
,1,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand. This implies that the teenager is seated.," ""An Asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand."""," ""The teenager is seated.""","IsAsian(a),  IsTeenager(a),  IsWearing(a, b),  IsSittingOn(a, c),  IsResting(d, e)","IsTeenager(f),  IsSeated(f)",[],[],[],"IsAsian(a) and IsTeenager(a) and IsWearing(a, b) and IsSittingOn(a, c) and IsResting(d, e)",IsTeenager(f) and IsSeated(f),"(IsAsian(a) and IsTeenager(a) and IsWearing(a, b) and IsSittingOn(a, c) and IsResting(d, e)) -> (IsTeenager(f) and IsSeated(f))","(exists a (exists d (exists b (exists c (exists e (IsAsian(a) and IsTeenager(a) and IsWearing(a, b) and IsSittingOn(a, c) and IsResting(d, e))))))) -> (exists f (IsTeenager(f) and IsSeated(f)))"
,1,"Boy in red and black shirt walks through grass. Therefore, the boy is walking."," ""The boy in the red and black shirt walks through grass.""  "," ""The boy is walking.""","IsInRedAndBlackShirt(a),  WalksThroughGrass(a)",IsWalking(c),[],[],"[(' The boy in the red and black shirt', ' The boy')]",IsInRedAndBlackShirt(a) and WalksThroughGrass(a),IsWalking(c),(exists a (IsInRedAndBlackShirt(a) and WalksThroughGrass(a))) -> (forall c (IsWalking(c))),(exists a (IsInRedAndBlackShirt(a) and WalksThroughGrass(a))) -> (exists c (IsWalking(c)))
,1,"These girls are having a great time looking for seashells. As a consequence, the girls are happy.", The girls are having a great time looking for seashells.  , The girls are happy.,"IsHavingAGreatTime(a),  IsLookingFor(a, b)",IsHappy(a),[],"[(' The girls', ' The girls')]",[],"IsHavingAGreatTime(a) and IsLookingFor(a, b)",IsHappy(a),"(IsHavingAGreatTime(a) and IsLookingFor(a, b)) -> (IsHappy(a))","(exists a (exists b (IsHavingAGreatTime(a) and IsLookingFor(a, b)))) -> (exists a (IsHappy(a)))"
,1,"Small girl in a pink dress is playing electronic drum pads with sticks. Consequently, a girl is playing electronic drums."," ""A small girl in a pink dress is playing electronic drum pads with sticks.""  "," ""A girl is playing electronic drums.""","IsSmall(a),  IsInPinkDress(a),  IsPlayingWithDrumPads(a),  IsUsingSticks(a)",IsPlayingWithDrums(e),[],[],"[(' A small girl', ' A girl'), (' electronic drum pads', ' electronic drums')]",IsSmall(a) and IsInPinkDress(a) and IsPlayingWithDrumPads(a) and IsUsingSticks(a),IsPlayingWithDrums(e),(exists a (IsSmall(a) and IsInPinkDress(a) and IsPlayingWithDrumPads(a) and IsUsingSticks(a))) -> (forall e (IsPlayingWithDrums(e))),(exists a (IsSmall(a) and IsInPinkDress(a) and IsPlayingWithDrumPads(a) and IsUsingSticks(a))) -> (exists e (IsPlayingWithDrums(e)))
,1,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. As a consequence, a person with a tattoo."," ""A blond woman has a tattoo of an angel on her arm."""," ""A person with a tattoo is walking down the street.""","IsBlond(a),  HasTattoo(a),  IsTattooOf(b, c),  IsOnArm(b, d)","HasTattoo(e),  IsWalking(e),  IsWalkingDownStreet(e, f)",[],[],[],"IsBlond(a) and HasTattoo(a) and IsTattooOf(b, c) and IsOnArm(b, d)","HasTattoo(e) and IsWalking(e) and IsWalkingDownStreet(e, f)","(IsBlond(a) and HasTattoo(a) and IsTattooOf(b, c) and IsOnArm(b, d)) -> (HasTattoo(e) and IsWalking(e) and IsWalkingDownStreet(e, f))","(exists a (exists d (exists c (exists b (IsBlond(a) and HasTattoo(a) and IsTattooOf(b, c) and IsOnArm(b, d)))))) -> (exists e (exists f (HasTattoo(e) and IsWalking(e) and IsWalkingDownStreet(e, f))))"
,1,"A tan dog chases a black and white soccer ball. Therefore, a dog is chasing a ball."," ""A tan dog chases a black and white soccer ball.""  "," ""A dog is chasing a ball.""","IsTan(a),  Chases(a, b)","IsChasing(c, d)",[],[],"[(' A tan dog', ' A dog'), (' a black and white soccer ball', ' a ball')]","IsTan(a) and Chases(a, b)","IsChasing(c, d)","(exists b (exists a (IsTan(a) and Chases(a, b)))) -> (forall d (forall c (IsChasing(c, d))))","(exists a (exists b (IsTan(a) and Chases(a, b)))) -> (exists c (exists d (IsChasing(c, d))))"
,1,"A dusty boy runs along a dirt path through the grass. As a consequence, a boy is outside running."," ""A dusty boy runs along a dirt path through the grass.""  "," ""A boy is outside running.""","IsDusty(a),  RunsAlong(a, b),  ThroughGrass(b)","IsOutside(a),  IsRunning(a)",[],"[(' A boy', ' A dusty boy')]",[],"IsDusty(a) and RunsAlong(a, b) and ThroughGrass(b)",IsOutside(a) and IsRunning(a),"(IsDusty(a) and RunsAlong(a, b) and ThroughGrass(b)) -> (IsOutside(a) and IsRunning(a))","(exists a (exists b (IsDusty(a) and RunsAlong(a, b) and ThroughGrass(b)))) -> (exists a (IsOutside(a) and IsRunning(a)))"
